Filename,ClusterID
0_1_1000.jpg,366
0_1_1021.jpg,132
0_1_1027.jpg,59
0_1_1030.jpg,300
0_1_1051.jpg,337
0_1_1053.jpg,43
0_1_1055.jpg,350
0_1_1071.jpg,43
0_1_1074.jpg,265
0_1_1079.jpg,352
0_1_108.jpg,100
0_1_1088.jpg,245
0_1_1094.jpg,109
0_1_1104.jpg,284
0_1_1117.jpg,35
0_1_1120.jpg,59
0_1_1122.jpg,87
0_1_1123.jpg,128
0_1_1127.jpg,65
0_1_1130.jpg,321
0_1_1133.jpg,219
0_1_1139.jpg,114
0_1_114.jpg,432
0_1_1153.jpg,423
0_1_116.jpg,279
0_1_1161.jpg,362
0_1_1163.jpg,116
0_1_1169.jpg,312
0_1_1172.jpg,111
0_1_1192.jpg,45
0_1_1198.jpg,183
0_1_12.jpg,24
0_1_1200.jpg,255
0_1_1205.jpg,395
0_1_1206.jpg,393
0_1_1213.jpg,18
0_1_1218.jpg,361
0_1_122.jpg,320
0_1_1224.jpg,144
0_1_1227.jpg,255
0_1_1237.jpg,130
0_1_124.jpg,321
0_1_1240.jpg,75
0_1_1249.jpg,90
0_1_1253.jpg,224
0_1_1256.jpg,378
0_1_1266.jpg,240
0_1_1267.jpg,34
0_1_1271.jpg,277
0_1_1272.jpg,96
0_1_1283.jpg,96
0_1_1296.jpg,286
0_1_1302.jpg,129
0_1_1309.jpg,411
0_1_131.jpg,16
0_1_1314.jpg,323
0_1_1325.jpg,94
0_1_133.jpg,136
0_1_1337.jpg,318
0_1_1340.jpg,225
0_1_1349.jpg,293
0_1_135.jpg,268
0_1_1356.jpg,220
0_1_1362.jpg,424
0_1_1377.jpg,128
0_1_1379.jpg,265
0_1_1386.jpg,312
0_1_1397.jpg,79
0_1_1399.jpg,325
0_1_14.jpg,179
0_1_1415.jpg,197
0_1_1417.jpg,241
0_1_1430.jpg,433
0_1_1439.jpg,-1
0_1_1443.jpg,270
0_1_1445.jpg,319
0_1_1447.jpg,92
0_1_1455.jpg,294
0_1_1460.jpg,19
0_1_1478.jpg,151
0_1_1489.jpg,155
0_1_1504.jpg,86
0_1_1505.jpg,224
0_1_1506.jpg,53
